t,r,psi,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31,theta32,theta33,theta34,theta35,theta36,theta37,theta38,theta39,theta40,theta41,theta42,theta43,theta44,theta45,theta46,theta47,theta48,theta49,theta50,theta51,theta52,theta53,theta54,theta55,theta56,theta57,theta58,theta59,theta60,theta61,theta62,theta63,theta64,theta65,theta66,theta67,theta68,theta69,theta70,theta71,theta72,theta73,theta74,theta75,theta76,theta77,theta78,theta79,theta80,theta81,theta82,theta83,theta84,theta85,theta86,theta87,theta88,theta89,theta90,theta91,theta92,theta93,theta94,theta95,theta96,theta97,theta98,theta99
0,2.0078238367923024e-17,0.09691762779436305,1.6964600329384885,0.4398229715025711,3.769911184307752,5.152211951887261,3.6442474781641603,2.5132741228718345,0.5026548245743669,6.031857894892403,5.529203070318037,4.084070449666731,4.71238898038469,3.518583772020569,6.220353454107791,0.942477796076938,1.3823007675795091,0.25132741228718347,2.8902652413026098,3.9584067435231396,2.324778563656447,1.884955592153876,1.4451326206513049,0.5654866776461628,5.717698629533424,5.592034923389832,3.392920065876977,3.832743037379548,3.0787608005179976,5.089380098815465,0.6911503837897546,4.39822971502571,5.026548245743669,4.900884539600078,2.261946710584651,1.7592918860102844,3.330088212805181,2.7017696820872223,5.843362335677016,4.1469023027385274,1.9477874452256718,0.3141592653589793,2.387610416728243,3.8955748904513436,5.215043804959057,3.7070793312359562,5.906194188748811,3.5814156250923643,1.5079644737231008,2.0106192982974678,5.403539364174445,3.455751918948773,0.06283185307179587,4.9637163926718735,1.5707963267948968,1.1938052083641215,2.6389378290154264,5.969026041820608,4.272566008882119,4.775220833456486,3.204424506661589,5.277875658030853,0.1884955592153876,1.1309733552923256,3.1415926535897936,0.12566370614359174,2.450442269800039,2.0734511513692637,1.2566370614359172,4.586725274241099,1.0681415022205298,6.157521601035995,2.8274333882308142,0.8796459430051422,5.7805304826052195,0.7539822368615504,4.649557127312894,2.199114857512855,1.8221237390820801,5.46637121724624,0.0,0.3769911184307752,2.9530970943744057,1.0053096491487339,5.6548667764616285,4.838052686528282,5.340707511102649,1.3194689145077132,4.0212385965949355,2.5761059759436304,4.523893421169302,2.7646015351590183,0.8168140899333463,4.461061568097507,0.6283185307179586,4.335397861953915,6.094689747964199,3.0159289474462017,1.6336281798666925,4.209734155810323,2.1362830044410597,3.267256359733385
0.001,0.0009700900328726862,-2.2101769740615724,1.7015358247229548,0.4538793022678533,3.79519456133262,5.109530064718127,3.6514455719461085,2.5108707761774585,0.508977721650309,6.036250397218485,5.522493238819092,4.117453085973879,4.681931822290133,3.5448471694856685,6.230672374851601,0.9323120887623161,1.356550020622525,0.27967466108016376,2.8981288550539057,3.92048341364159,2.3361750760472124,1.8878364452380298,1.4382748447870388,0.5616617948552594,5.732524455719879,5.577794127959684,3.414773217791944,3.8105102116807332,3.1123745645943717,5.092154784160688,0.66105046561594,4.421780348876902,5.012972079308321,4.895115598575201,2.26091230514391,1.7914754857463877,3.299042075418567,2.709942950012606,5.828551055589254,4.152861405849923,1.9435370632061864,0.3489930073971485,2.3877143441084736,3.894148064337778,5.1732720621940365,3.73979593700543,5.879492356560722,3.5753129695934613,1.534756779918402,1.994029797557276,5.386236464395168,3.484159498336442,0.039090037260582675,4.986225084998232,1.5558171212627738,1.2181440757220043,2.615545927180016,5.955492755193444,4.303308450871318,4.747348401810764,3.2402328026552776,5.280124023166937,0.18530980224128663,1.1333600637859935,3.122078596279485,0.1427604554945081,2.431640423008756,2.0662733361691217,1.269361834516848,4.596850384309646,1.0447373657703372,6.180053457593208,2.8059214088639126,0.8829344020951045,5.818112200834897,0.7229909501304613,4.650093603935301,2.201648040315473,1.8167464821606751,5.4904812599615065,-0.006695579834159164,0.38097997182018084,2.9270564127129854,1.0022523244689325,5.661085921153592,4.862787500305281,5.346014333024623,1.3134640749022555,3.9958048410427036,2.6139136147028754,4.4881288005647555,2.7641212728004474,0.8249090051387259,4.481819526491074,0.6056938512525663,4.364433759845636,6.074304115105327,2.9960382014843074,1.6637095878331891,4.179613551389008,2.173480214738341,3.231017911656896
0.011000000000000003,0.004505525525458833,-1.5056246364563837,1.7497633734855453,0.5792404556555145,4.031636115943203,4.722800133104432,3.708025097106466,2.4868532214623498,0.5741042040062836,6.072984680283917,5.474027624066976,4.386882803336145,4.461724616188292,3.7942787468256873,6.305292790036961,0.8297408697592663,1.1444850562922295,0.5515632603631616,2.9288189791306816,3.5736834448429016,2.437202348269442,1.9155852269741953,1.3805626147601298,0.5298938144122456,5.843948925938604,5.445371117367789,3.611891391066219,3.67278875536441,3.4143688302634017,5.116498209935583,0.3079602522609174,4.667974914269801,4.916730862751579,4.8250184600042365,2.286890735875809,2.07133702287721,3.0360698699343365,2.783116925830012,5.653097483017705,4.221038012642907,1.8969899962439398,0.7084428577822572,2.374089774040354,3.864655483890813,4.7955587955187235,4.069219022575416,5.569719389764199,3.516889314361924,1.775535273357696,1.872812229797501,5.19818424270559,3.8356230442630954,-0.23561363598936608,5.231204659601846,1.4055065795641113,1.4092187498777708,2.384088630700015,5.831850173510674,4.556276586382783,4.5360171737468065,3.598920143706801,5.2867064409203826,0.15874006236690735,1.1631198253361126,2.872077490809358,0.3844194376035073,2.2313487582058555,1.9967596986138034,1.381363692970166,4.732510308356067,0.8033872237172829,6.427815093651822,2.532748872562464,0.9341507596513579,6.1473950302334694,0.42692412168236127,4.678050711912474,2.2186245359692296,1.7439853733336974,5.735077867605196,-0.03965618848453023,0.4390167894160406,2.630774036444701,0.9792292167812089,5.736392960205734,5.081071195840062,5.423343366037371,1.2646260359843393,3.7454052776044313,2.9782657616166825,4.118633372447772,2.758743080748219,0.8939904339086059,4.7396118508242555,0.2985050913198284,4.7005359075922994,5.86835168249486,2.818979908169279,1.9945717346596485,3.8092460026544983,2.517221079546154,2.921633345912474
0.02100000000000001,0.011335788539089288,0.058644099444741894,1.783078737192867,0.6803656588065413,4.209194047921507,4.449311824036511,3.7244596923421454,2.4612121438176713,0.6407195973524147,6.1033004313224835,5.458254019962662,4.560489375191237,4.373725782807593,4.0155727539061035,6.329546429423619,0.7337318507096021,1.0146332312873798,0.7935472055959885,2.8748966012362995,3.3026379992047468,2.4986250178300033,1.9401818266913078,1.339084498953468,0.5075883870523639,5.903978112503695,5.3345238944512765,3.774793857867713,3.6532255070101436,3.6576457107337577,5.126447355682145,-0.08291748374779567,4.898917258466228,4.877909405498145,4.735468949513394,2.370823869003734,2.268633897568237,2.8739863580009923,2.852602937470286,5.43403777495528,4.297647330161811,1.86202019464579,1.0490462345738543,2.3515125219328934,3.8042174699023503,4.533061947209434,4.311864989369956,5.237390010860105,3.473237098997893,1.9675505606794506,1.832176388693314,5.010874021192925,4.244548804146196,-0.5200752216056235,5.468554202889191,1.2524330439578275,1.5027862388221216,2.1686874828175537,5.746010559934698,4.721626340410158,4.449109388215079,3.914895288420842,5.281893448168782,0.13989698015624424,1.195282677092431,2.523873316914363,0.7422295051725764,2.0309013424243725,1.92752546827382,1.4530244989472574,4.938675595633432,0.5801840241065592,6.682249105202959,2.176688503165203,1.0060961760079543,6.370206526878213,0.18888953641487588,4.740977929848176,2.2131347881073498,1.6440284422997393,5.980398383026809,-0.015312650388967664,0.5281356143140767,2.2843808138474175,0.9619560498662159,5.828890417794466,5.261540802714163,5.534606632721924,1.2324349596180535,3.5366695497874057,3.2253000023826335,3.8057770884742634,2.737594748192443,0.9313665066897886,5.065857450873792,-0.0842792813114533,5.0408137486171185,5.691390126599282,2.712099397214601,2.303145053351174,3.4290730928860107,2.7377934939576565,2.7273961283925607
0.03100000000000002,0.027786873700413762,0.41501426679013687,1.8022907108464032,0.7650557245198859,4.326666722004729,4.278438957132056,3.7071563952333424,2.432559755314457,0.7069999218088029,6.133154763592259,5.465970223700217,4.678275541269242,4.37082646173986,4.217703410487737,6.311273989168349,0.650491868145064,0.9489784120984073,1.0035646464775458,2.762446925691532,3.0967580757902855,2.5193447987173743,1.958657749496474,1.3094011308966182,0.49098329550463204,5.931527433016017,5.247561185978603,3.911379525585063,3.7019432599789677,3.8557865514895395,5.107953420283173,-0.418105005073683,5.0614734748336705,4.869555743351252,4.632105096668676,2.495875694116832,2.4075225075135105,2.7965833475791384,2.934866849193055,5.188170635807077,4.3636944676066145,1.8567300148911985,1.3302316231178666,2.34292040396768,3.724247656167528,4.366655763615717,4.425722155650686,4.946772498469753,3.443155083912167,2.1216448600545568,1.8600366746383068,4.865061217614593,4.581827775482224,-0.7202739940021233,5.656208821659477,1.1030134630059025,1.5159610503860825,1.9674320195416783,5.7058365687788895,4.83201426750584,4.45172770869194,4.166708404830868,5.285682997925802,0.12633858773512754,1.2062761854615132,2.1591613734646447,1.1072347978080277,1.8791031843864057,1.8566924600285666,1.4686545381982843,5.2116060662939026,0.40918040093418817,6.881776394260185,1.8229605949503274,1.0602715704123888,6.504107312521959,0.016195919529242632,4.82961558847645,2.1773405463887494,1.5325715096446226,6.215019004110635,0.05470751456939818,0.6265565105530837,1.9351116575866276,0.9332891951737762,5.929962446619955,5.420615200057869,5.667079712439981,1.2099428042369729,3.3740207615345748,3.334319976521534,3.5843253796519994,2.692687785861189,0.937805729616167,5.377162691231476,-0.3776431815441546,5.273052163038278,5.565250821298533,2.680992623574537,2.5109289270919737,3.1590738008811967,2.8277509882120118,2.6149435919540567
0.04100000000000003,0.04485944711535884,0.5157619557210719,1.8137220448104323,0.8401711578722038,4.400385005713715,4.172817209282913,3.671208686765382,2.4010642429014704,0.7717174164743823,6.165121703362245,5.488461396855627,4.7680954668453905,4.4179445078830675,4.408595039116115,6.2627896100752505,0.5804648272454236,0.9249620209550143,1.1788784517110733,2.6258803137976523,2.9333327434231387,2.510157923711342,1.9691373937491048,1.2876996797647595,0.4772965400909433,5.939905179703113,5.183979154072097,4.027503820034635,3.7853471683904716,4.018417109331035,5.065546394346139,-0.6630919963450088,5.144821835446333,4.866864494466884,4.522493834321454,2.6445015290794176,2.5175601283405644,2.778150219888903,3.032633536224372,4.939062989200412,4.3968149156833425,1.8851860600290569,1.5459857499653042,2.355958049378019,3.6384956368708505,4.250582333586784,4.44318350363212,4.713241028248844,3.4188433915394563,2.2506483867507088,1.9405288549078459,4.7599325644809,4.8011650680955995,-0.8160564411366116,5.792957521687764,0.9660722540803063,1.472342330830635,1.7694374161196798,5.709635629055613,4.915111117497514,4.504561156925021,4.36350090450795,5.305092998829454,0.11545479895755982,1.1817475431434918,1.882428790393804,1.3611469575189625,1.7952028549072296,1.7866744327137065,1.423589275055331,5.5290047865009955,0.3032422091890542,6.995286637064125,1.5447057565490687,1.0744835035410076,6.579293349190235,-0.10292017347425511,4.940873365901594,2.1055222616012528,1.4269807011457258,6.425498949264468,0.15361535483699768,0.7052810227233417,1.6340774900144988,0.8827473480465322,6.032089253008072,5.5678923159065805,5.810611388985369,1.1939852256993655,3.238974764637767,3.3528609046087348,3.427503760455474,2.629416186023243,0.9294618824366082,5.62308732364547,-0.5287232583381302,5.3915084986615485,5.47266493132074,2.702935377778967,2.628691869610782,2.99558287746837,2.8403528811120036,2.544659659906719
0.05100000000000004,0.06076145161230376,0.5657958621639408,1.821942834640371,0.9107615577189242,4.442997556464381,4.103979660041485,3.6275183617622746,2.3678906792700216,0.8338146407964228,6.199957642725611,5.520314060501468,4.845413234440448,4.494078554468907,4.588602003208996,6.198950387597881,0.5216528133374202,0.9241535690382092,1.315329351072658,2.4924796986707674,2.796332033766329,2.4815075321176607,1.9712169315138595,1.2709082970030818,0.46492905861279527,5.937726791110174,5.141312043924284,4.127702063350516,3.883345082078082,4.150818499908052,5.015060428371703,-0.835241029455734,5.170671131962583,4.856422256493419,4.416042656826369,2.7998377441978723,2.6173128347641623,2.799104207321859,3.1346319605067143,4.708864604005589,4.382430858935286,1.9461714718539112,1.7113234089245315,2.3857854977478103,3.5555315574352595,4.156224831753362,4.404082627558408,4.527222538011578,3.3961078511329377,2.3644598704482207,2.0621567329380484,4.671772772532995,4.931047808376487,-0.8420283506004899,5.891047974851377,0.8454287460943936,1.390623397248742,1.5668202343636766,5.7519188551582054,4.988265535750743,4.581797964843819,4.520818376649428,5.33845761625661,0.10529557750454072,1.1315220979426246,1.7038905207840689,1.499476898385599,1.7554808720797723,1.7185106197094489,1.3336923450032176,5.8544561945032045,0.2628215044692068,7.039648387534103,1.3479103005305364,1.0556724683286354,6.617101260545805,-0.17925582304181806,5.078897269133984,1.9918514218744576,1.3377268955531685,6.602865109535949,0.2637283767755383,0.7533292109789934,1.4005497692887234,0.8155813628947423,6.128711913552959,5.707717277709485,5.957109706527747,1.185396486366562,3.1174193956953307,3.320997646671582,3.306535696949927,2.5550017328405206,0.9206163851484211,5.808632836893003,-0.5832049621100005,5.44196185377755,5.3907059376889315,2.7586988819550142,2.6951004191017462,2.897407920941838,2.8179590451150585,2.4950399705952697
0.06100000000000005,0.07528415912180088,0.602516248880903,1.829662777788992,0.9809336067387144,4.461325583803112,4.054749228991451,3.5820287702910543,2.334600237819793,0.892342572739219,6.237588980585088,5.558569234407852,4.918275935589198,4.586256183968955,4.7534166508585525,6.134265851167815,0.4719843573829436,0.9336600201954337,1.4130345712762953,2.3762056413218704,2.6774845656837307,2.4408586838929223,1.9654025796715928,1.2567185111327472,0.4530906277333575,5.930376102574133,5.116133329208158,4.215672581916228,3.984218638904466,4.257653985622229,4.9682966753758,-0.9595292235124293,5.161942903588198,4.834940505601479,4.322046899642453,2.94764143367939,2.7149888251937258,2.845183967015489,3.226143057788748,4.510331898573166,4.3176490632493785,2.0384229747241265,1.8445634996567377,2.4245197144905983,3.479751151534151,4.070434763691057,4.335265488084644,4.376063420375824,3.374616418692719,2.470222921967284,2.217202540735875,4.581823027365113,5.005130961042778,-0.832365994049755,5.960277007308219,0.7402704188929241,1.283729117074565,1.3596624624720384,5.82287786593832,5.060987064360911,4.669452465733994,4.651509707066993,5.381348030437783,0.09517832363580565,1.070947430952939,1.5884652367454444,1.5645002859412824,1.7335806146795028,1.6521251104625618,1.2320083270481517,6.1488428611399675,0.27789737208139664,7.045789872819108,1.2090161094378904,1.0183924056253886,6.631632062414605,-0.21887526351323883,5.252499355011938,1.8295494400148928,1.264312119337062,6.74549802739845,0.3711857163541299,0.7769803714507926,1.2266257983252757,0.744277605335104,6.215388104152397,5.841082262980471,6.100487227908214,1.1864153453621717,3.0020034060771015,3.26162387488838,3.2037648745472347,2.474700931048074,0.9179339684529543,5.950468923083793,-0.587387140092439,5.457534398027241,5.3057193801782,2.8379667262111976,2.73793891898365,2.8354594839170755,2.782658981152852,2.456329433451552
0.07100000000000005,0.08836171688133043,0.63147941176338,1.838668022757439,1.0546478325069626,4.458036650026852,4.015097525005429,3.537489151276273,2.30270818122725,0.9465604906796338,6.277619425754584,5.601647963031893,4.99052321032797,4.685849489938536,4.898926593078644,6.079404500247951,0.4301476007931162,0.9455888343104425,1.477230380919092,2.279813630254858,2.5728024669510816,2.393234506477623,1.9526507750016031,1.2434963489842839,0.44144846765999873,5.921153399488251,5.10487452745134,4.294264055881581,4.081492404024075,4.3439922690667325,4.930088758960839,-1.053484009896668,5.13387849567981,4.80433805786372,4.2465168662676245,3.079067379689674,2.812344497566179,2.9056098760821576,3.298426364944131,4.344601451389788,4.209218405619149,2.1588775522670893,1.9601601090912741,2.466266977971747,3.412874640937152,3.988183800313848,4.2523363469252855,4.250051739762411,3.355793670206529,2.572977961049705,2.3972273437916622,4.482364809491852,5.0444106838251015,-0.8083193177534407,6.007353799342942,0.647365929630644,1.1611884564735502,1.1561898424965331,5.907787246838061,5.137213233654655,4.760731319067981,4.764410680413535,5.429519652107514,0.08534573200602646,1.0097841791416238,1.5077956011706037,1.5884863999047227,1.7152250449435231,1.5892346326991815,1.1480215351721343,6.388461544099145,0.3293412998083054,7.036976051174579,1.1068982510314205,0.9732762082964034,6.633036212168312,-0.2236903498899607,5.468437072833358,1.6152832661429597,1.1979248708395007,6.856358304152451,0.4677596673271761,0.7864541423339396,1.0973909529309922,0.6787844158788011,6.29066641935551,5.967356221401571,6.236809230005243,1.1984140103433676,2.8897708382688916,3.186920905192609,3.109731784324678,2.3921177895349137,0.9226150830351731,6.061549610394454,-0.5686494483439382,5.454575083435401,5.211994267829676,2.934960349482389,2.7727073381008944,2.7943254474230077,2.744725842642238,2.4243704262503223
0.08100000000000006,0.0999228342573815,0.6542727392899744,1.8504946828870639,1.136300349211597,4.432900405729238,3.9788597089465325,3.4948649998128865,2.273400511753797,0.9960444331834135,6.319568567475461,5.648633846695659,5.063608746094571,4.787046892140088,5.024074175355462,6.039511382775992,0.3954522768331967,0.9558076211488917,1.5153277217149552,2.200446400396027,2.4799584136952904,2.341987337145217,1.9340947776351316,1.2301553022512,0.4299017586430941,5.912036236947905,5.104295105574711,4.365513238510014,4.172014030330592,4.41466350804147,4.900938596434751,-1.1276650658815601,5.095603193358069,4.76812359162803,4.190788529593737,3.191317380631664,2.9081613502826786,2.9724255952117833,3.3501722028084813,4.205522528415129,4.07158115717944,2.298879517116458,2.067379581078991,2.5080107813050363,3.354999507141943,3.9081332694236144,4.164040609993774,4.142706583936841,3.3413711995963986,2.6755064387346184,2.589471326569002,4.376441655398116,5.060934966979225,-0.7816026601492032,6.037060084211901,0.5629939725760307,1.0310646891876527,0.9680658382431441,5.990488280114345,5.2170266962779275,4.8525370190643935,4.865193443843523,5.479809528709766,0.07642283353341443,0.952583319352575,1.4459011777723452,1.5894846476538342,1.6949343765720042,1.5325595239556569,1.0927746689591475,6.571681781548414,0.39751232558711824,7.026094073635143,1.028554669440277,0.9266053127867523,6.629272406132512,-0.19413566066875237,5.717656593731754,1.3617123120125578,1.127599570570331,6.9391988541738385,0.5499147162198577,0.7892154837048476,1.0004639845205485,0.6239975544247297,6.355507722160046,6.0855816745276385,6.364111746641205,1.2207576739189343,2.780472372057537,3.1035171445017555,3.0196910979067884,2.309889840148669,0.9330335183400629,6.150556598811788,-0.5414759025668154,5.440374194520489,5.109505583219645,3.0445080163077565,2.8072761362481202,2.766469645462099,2.708766047451433,2.3975545327662826
